Roll No,student_name,gender,dob,class_teacher,maths,english,kiswahili,physics,chemistry,biology,geography,history,agriculture,computer,attendance (%),average,grade
1811,Alyssa Owens,male,4/20/1999,Mr. Smith,53,17,17,32,59,79,8,89,98,74,90,52.77,C
1812,Jessica Weber,female,01-11-98,Mr. Brown,36,54,99,47,10,91,45,17,9,43,90,51,C
1813,Timothy Smith,male,2/16/2002,Mrs. Davis,83,92,86,1,8,20,27,18,78,72,50,45.08,C-
1814,Jared Horn,male,10/28/2005,Mr. Smith,99,0,54,30,12,5,77,78,90,67,100,55.77,B-
1815,Michael Acosta,female,12-08-98,Ms. Johnson,78,3,94,78,25,18,60,75,88,45,40,58.46,B-
1816,Stephen Johnson,female,12/25/1997,Mrs. Davis,91,83,57,40,6,25,48,30,87,90,95,59.46,B-
1817,Emma Williams,male,1/27/1993,Mr. Smith,88,50,78,6,39,44,31,86,94,38,100,50.46,C
1818,Lisa Lopez,female,04-09-06,Mr. Brown,60,53,94,69,12,14,10,42,63,80,5,40.54,D+
1819,Natalie Hartman,female,4/24/2001,Mr. Smith,92,12,25,37,34,82,57,97,9,95,45,56,B-
1820,Chase Robbins,female,10/30/2010,Mrs. Davis,89,77,57,40,68,40,95,77,38,18,55,53.15,C
1821,Andrea Moore,female,6/25/1991,Ms. Johnson,46,94,8,8,31,33,11,66,97,27,95,37.62,D
1822,Albert Humphrey,female,4/25/1999,Mrs. Davis,71,81,85,6,1,27,15,99,25,86,65,50,C
1823,Daniel Hammond,male,09-07-97,Ms. Johnson,87,91,76,59,12,91,98,83,12,6,85,56.31,B-
1824,William York,female,01-10-92,Mr. Smith,85,56,70,32,78,6,42,59,42,76,35,49.46,C-
1825,Clifford Mayo,male,2/17/2004,Mr. Smith,55,45,92,92,74,87,58,23,9,22,100,51.69,C
1826,Ryan Wagner,male,07-05-96,Mr. Smith,47,99,7,9,74,41,99,77,100,37,40,57.38,B-
1827,Stacy Haynes,female,04-07-91,Mrs. Davis,53,82,32,7,77,91,0,0,94,42,20,47.77,C-
1828,Erin Nelson,male,02-04-94,Mr. Smith,51,44,15,42,15,22,2,11,84,84,0,41.23,D+
1829,Alexis Clarke,male,11/30/2002,Mrs. Davis,81,61,46,27,45,50,81,44,24,30,15,46,C-
1830,Jared Harris,male,2/28/1992,Mr. Brown,43,32,93,1,54,25,98,99,40,80,90,52.15,C
1831,Scott Williams,female,1/22/2002,Mr. Smith,56,71,10,90,97,74,64,27,27,84,50,66.92,B
1832,Angela Johns,male,05-01-04,Mrs. Davis,63,93,7,43,22,47,4,67,73,92,45,46.15,C-
1833,Sharon Bryant,female,12/22/1998,Mrs. Davis,38,76,19,92,32,95,41,38,78,78,90,56.31,B-
1834,Debra Hill,female,3/19/2010,Mr. Brown,95,21,63,96,42,68,47,41,4,97,60,54.23,C
1835,Jennifer Burnett,male,2/15/1991,Ms. Johnson,17,26,81,57,74,60,14,75,51,60,40,57.23,B-
1836,Robert Cherry,female,8/17/2007,Mrs. Davis,77,45,11,39,37,68,77,86,62,30,75,53.23,C
1837,Jennifer Adams,male,12-02-01,Mr. Brown,47,69,63,7,68,69,19,38,52,52,15,47.31,C-
1838,Kyle Barton,male,1/29/2005,Mrs. Davis,94,27,73,69,95,28,57,62,28,55,75,59.62,B-
1839,Deborah Vincent,male,11/24/2006,Ms. Johnson,68,91,23,33,57,78,55,51,4,73,5,51,C
1840,Raymond Garcia,female,5/28/2006,Mrs. Davis,11,83,15,92,93,6,14,77,60,78,50,53.62,C
1841,Sarah Molina MD,female,10-01-06,Mrs. Davis,62,24,84,19,28,26,50,70,40,27,65,40.38,D+
1842,Linda Dalton,male,05-10-91,Ms. Johnson,41,31,15,43,79,16,65,15,13,4,50,36.77,D
1843,David Scott,male,3/18/2009,Ms. Johnson,55,21,85,29,51,90,57,21,82,98,45,60.54,B
1844,Jennifer Hart,female,12-07-03,Mrs. Davis,93,56,10,45,71,29,33,21,84,11,35,47.54,C-
1845,Hailey Estrada,female,11/27/1991,Mrs. Davis,14,93,5,20,74,52,51,20,61,73,60,52.08,C
1846,Randall Andrews,male,2/26/2009,Mrs. Davis,66,41,66,19,38,72,69,7,29,58,20,49.46,C-
1847,Julie Gibbs,male,07-03-02,Mr. Smith,12,50,41,13,89,39,34,12,88,22,55,46.23,C-
1848,Mr. William Olsen,male,6/16/2004,Mrs. Davis,4,42,38,36,72,20,11,49,77,76,25,43.31,D+
1849,Sylvia Sullivan,male,11/17/1996,Ms. Johnson,63,42,67,63,13,86,50,86,27,1,20,49.15,C-
1850,Kristine Hahn,female,01-05-09,Mr. Smith,63,12,37,20,2,51,90,18,4,45,10,45.77,C-
1851,Jose King,male,12/14/2004,Mrs. Davis,91,19,11,83,4,5,79,85,21,28,70,47.62,C-
1852,Christian Allen,female,10/22/2010,Mr. Brown,99,57,72,96,85,59,13,14,36,35,85,52.08,C
1853,Kevin Randolph,female,2/23/2007,Ms. Johnson,52,71,48,83,73,100,11,17,77,23,0,57.62,B-
1854,Daniel Hudson,female,3/18/1992,Mr. Smith,10,87,42,33,79,17,56,65,39,38,35,44.62,D+
1855,Paul Bailey,male,2/24/1995,Ms. Johnson,89,41,84,96,68,77,22,8,15,61,85,53.92,C
1856,Andrew Williams,female,11/13/1994,Mr. Brown,95,48,11,38,27,71,69,54,77,94,100,51.54,C
1857,Tammy Doyle,male,1/17/2010,Mr. Brown,93,36,79,70,58,90,21,32,73,50,90,58.31,B-
1858,Robin Callahan,female,10/13/2003,Mr. Smith,92,91,17,17,36,78,11,34,34,10,95,39.31,D
1859,Melanie Mitchell,male,8/20/2001,Mr. Smith,7,14,67,97,100,30,60,30,54,84,95,53.54,C
1860,Ashley Rodriguez,female,6/21/1997,Ms. Johnson,0,20,26,27,92,64,50,27,98,88,35,54.77,C
1861,Charlene Porter,female,12-11-96,Ms. Johnson,96,60,66,22,93,69,96,99,36,79,25,68,B
1862,Taylor Barber,female,09-12-06,Mr. Smith,71,37,67,88,96,79,81,51,8,32,20,56.15,B-
1863,Timothy Dougherty,male,08-07-08,Mr. Brown,44,80,5,25,95,17,80,37,86,53,75,56,B-
1864,Mackenzie Barrera,female,10-05-02,Mrs. Davis,94,51,78,67,62,9,56,16,68,86,50,55.62,B-
1865,Robert Myers,female,04-11-05,Mrs. Davis,31,63,26,63,11,72,11,87,30,64,80,48.69,C-
1866,Eric King,male,04-05-05,Mr. Brown,14,100,69,31,80,37,55,37,25,84,65,55,B-
1867,Austin Reed,female,3/22/1993,Mr. Smith,60,89,74,28,29,93,74,78,28,41,70,54.31,C
1868,Joseph Gibson,female,10-02-03,Mrs. Davis,89,6,32,87,59,7,16,14,94,42,30,46.54,C-
1869,Mark Walker,male,11-04-97,Mr. Smith,84,35,83,23,59,56,97,49,76,44,55,60.31,B
1870,Rhonda Walker,female,3/25/1997,Mr. Smith,89,16,29,41,4,82,36,66,53,7,75,38.92,D
1871,Jodi Lewis,male,8/14/2005,Mr. Smith,13,48,89,8,92,73,57,53,71,75,70,56.54,B-
1872,Dr. Joseph Tran PhD,male,10/18/1993,Mr. Smith,99,6,69,61,25,54,20,15,16,12,40,41.15,D+
1873,Jessica Marshall,male,10/25/2000,Mrs. Davis,87,9,27,9,84,6,83,22,17,51,95,39.54,D
1874,William Turner,female,01-09-98,Ms. Johnson,47,3,65,96,55,16,10,99,57,90,80,46.62,C-
1875,Richard Kirk,male,12-11-97,Mr. Brown,15,43,81,81,85,55,37,65,92,36,20,62.15,B
1876,Amanda Jordan,male,06-12-04,Mr. Smith,3,12,43,3,81,21,79,72,37,26,10,41.85,D+
1877,Jill Stewart,female,02-12-02,Mrs. Davis,58,66,50,92,44,75,1,94,27,35,35,49.85,C-
1878,James Brown,female,3/18/1996,Ms. Johnson,14,15,65,29,25,7,5,7,26,86,80,33.85,D-
1879,Valerie Burke,female,3/31/1999,Ms. Johnson,51,43,96,71,8,71,54,42,87,14,35,54.31,C
1880,Curtis Brown,male,12-05-96,Mr. Smith,94,66,70,22,86,29,54,60,16,87,70,59.92,B-
1881,Kelsey Krueger,male,7/28/1998,Mr. Brown,55,61,47,67,96,32,89,13,39,22,100,52,C
1882,Wayne Hickman,female,01-04-04,Mr. Smith,51,33,32,56,40,52,48,84,99,9,60,48,C-
1883,Michelle Shepherd,female,1/21/2010,Ms. Johnson,34,85,96,48,99,44,10,51,91,99,55,69.46,B
1884,Kevin Hoover,male,10/13/2003,Mrs. Davis,34,55,92,84,48,15,54,19,60,62,45,53.54,C
1885,Mark Hall,male,4/17/1993,Mrs. Davis,41,44,93,4,64,33,64,66,78,55,85,52.08,C
1886,Hannah Morgan,female,1/27/2009,Mr. Smith,64,40,65,30,21,2,30,35,93,40,50,38.15,D
1887,Mark Boyle,male,12-04-09,Mrs. Davis,14,51,47,25,70,41,100,90,12,36,95,52.38,C
1888,Anthony Floyd,female,02-07-92,Mr. Brown,88,19,64,1,30,87,3,69,53,87,5,46.77,C-
1889,Zachary Jimenez,female,5/31/2006,Mrs. Davis,51,44,75,6,41,7,98,82,36,56,30,50.23,C
1890,Debra Higgins,male,7/21/2008,Mrs. Davis,43,20,34,15,82,95,53,80,42,4,60,52.46,C
1891,Scott Cain,male,3/16/1997,Mr. Brown,94,7,34,54,13,12,38,86,40,27,0,42.08,D+
1892,Matthew Crawford,female,11-11-08,Ms. Johnson,73,82,91,48,94,43,72,97,29,62,65,65,B
1893,Louis Morris,female,3/20/2003,Mr. Brown,86,5,55,55,83,24,96,92,99,79,30,70.23,B+
1894,Amanda Martinez,female,11/26/2004,Mr. Smith,94,16,35,95,8,55,21,97,24,44,80,46.54,C-
1895,Shawna Daniel,male,12/30/1992,Mr. Smith,55,74,60,78,50,48,91,89,52,4,65,59.92,B-
1896,Meghan Douglas,male,4/27/1999,Mr. Smith,91,58,0,82,27,68,98,91,78,87,85,62.62,B
1897,Karl Robertson,male,9/23/1995,Ms. Johnson,88,85,83,59,78,64,100,75,94,66,15,66.38,B
1898,Christy Golden,male,4/21/1995,Mrs. Davis,6,74,19,10,24,81,45,72,51,14,70,45.46,C-
1899,Philip Mack,female,04-02-10,Mr. Smith,2,45,93,60,67,72,96,46,8,38,35,45.85,C-
1900,Donald Young,male,11/29/2001,Mr. Smith,52,48,60,35,4,73,49,42,54,49,5,46.77,C-
1901,Karla Wright,female,07-10-05,Mrs. Davis,40,98,33,3,14,88,67,33,52,35,20,50.77,C
1902,Susan Bond,female,11/28/1996,Mrs. Davis,72,98,53,58,53,87,15,40,54,24,15,56.38,B-
1903,Gloria Dillon,male,08-09-97,Ms. Johnson,4,48,79,67,37,27,3,89,66,71,55,47.92,C-
1904,Jeffrey Stein,female,02-12-00,Ms. Johnson,1,18,45,84,70,97,18,98,56,1,95,46.38,C-
1905,Dennis Brown,female,2/25/1994,Mr. Smith,91,87,50,96,61,97,98,10,29,16,95,58.08,B-
1906,Allison Stephens,female,9/13/1990,Mr. Brown,18,62,71,49,25,34,96,96,52,19,15,49.23,C-
1907,Jaclyn Stewart,male,06-02-05,Mr. Brown,80,5,11,76,28,85,18,74,47,59,45,50.77,C
1908,Ms. Tammy Pierce MD,male,01-08-09,Mr. Smith,29,35,88,35,4,83,90,59,69,17,85,57.08,B-
1909,Leslie Brooks,male,5/18/2006,Mr. Smith,56,76,31,84,86,83,57,39,30,79,45,56.08,B-
1910,Nicole Matthews,female,8/19/1997,Mrs. Davis,18,75,83,84,9,90,79,97,46,20,70,60.23,B
1911,William Bell,male,11/13/2000,Mr. Smith,65,57,63,38,61,72,24,19,33,93,25,56.62,B-
1912,Christine Jensen,male,9/17/2008,Mr. Smith,30,98,63,27,2,70,42,27,34,4,65,40.15,D+
1913,Sonya Carroll,female,04-10-98,Ms. Johnson,73,93,31,28,69,85,11,74,27,41,35,62.54,B
1914,Lisa Cantrell,male,3/29/1990,Mr. Brown,73,51,39,50,49,67,0,15,20,27,90,37.23,D
1915,Maria Chavez,female,12/25/2009,Mr. Brown,95,74,34,84,43,76,29,40,29,5,75,54.69,C
1916,Manuel White,female,9/21/2010,Ms. Johnson,25,6,40,93,31,21,89,89,77,55,0,47.31,C-
1917,April Wilkins,female,11/26/1993,Mrs. Davis,79,96,75,11,50,36,63,62,41,80,100,56.08,B-
1918,Stephanie Holmes,female,1/29/2005,Mr. Brown,17,19,22,65,7,37,84,61,69,70,100,45.15,C-
1919,James Roy,female,07-02-92,Ms. Johnson,8,48,34,70,17,84,20,69,15,50,75,48.54,C-
1920,Michael Green,female,09-07-96,Mrs. Davis,82,80,72,82,16,73,6,44,27,94,35,57.77,B-
1921,Elizabeth Williams,female,05-07-94,Mr. Smith,3,9,98,97,91,36,38,4,76,13,45,43.77,D+
1922,Jerry Sloan,male,05-09-10,Mr. Brown,25,8,47,33,51,86,95,55,61,2,50,45,C-
1923,Mrs. Katie Mccullough,male,5/18/2000,Mrs. Davis,89,71,24,9,70,36,50,84,76,80,20,57.54,B-
1924,Carla Holt,female,3/20/2006,Mr. Brown,14,59,66,83,88,2,16,51,46,89,10,50.69,C
1925,Ashlee Garcia,male,6/29/2001,Ms. Johnson,18,38,63,73,100,4,35,97,81,5,5,54.23,C
1926,Stephanie Koch,female,10-12-93,Mrs. Davis,48,73,89,73,29,58,60,95,90,39,55,58.46,B-
1927,Cynthia Kane,female,5/27/1995,Ms. Johnson,16,74,91,27,16,52,8,34,12,80,45,45.31,C-
1928,Pamela Crawford,male,1/15/2009,Mr. Smith,69,6,55,79,6,33,82,80,61,21,5,48,C-
1929,Austin Hayes,female,4/13/1995,Ms. Johnson,87,93,0,40,72,17,70,53,15,79,5,52.77,C
1930,Heather Lewis,female,08-06-94,Ms. Johnson,68,28,88,40,49,96,14,51,22,82,55,57.15,B-
1931,Alan Hansen,female,04-09-04,Mrs. Davis,40,25,57,97,90,54,32,90,93,74,10,65.77,B
1932,Amber Townsend,male,09-06-08,Mr. Brown,56,10,24,39,53,81,74,77,11,53,30,45.08,C-
1933,Pamela Cannon,male,5/16/2009,Ms. Johnson,55,25,13,54,23,70,70,68,87,5,40,45,C-
1934,Brandon Lewis,male,11-04-93,Mr. Smith,4,12,78,4,93,26,48,45,92,57,90,52.31,C
1935,Bruce Pennington,male,11-06-97,Mrs. Davis,77,100,69,27,22,60,5,62,26,5,70,50.08,C
1936,Michael Ramirez,male,4/15/2007,Mrs. Davis,85,35,42,80,96,64,54,52,8,20,5,51.92,C
1937,Terry Mcdonald,male,08-11-96,Mr. Smith,18,5,41,51,28,84,83,69,65,0,95,42.85,D+
1938,John Ward,male,4/14/2001,Ms. Johnson,47,37,89,90,43,6,33,85,15,40,65,49.15,C-
1939,Christopher Ward,male,3/15/1991,Mrs. Davis,59,85,16,95,84,26,20,34,50,4,55,54,C
1940,Jesse Perkins,male,4/14/2001,Mr. Brown,59,65,92,60,50,29,83,86,54,73,75,68,B
1941,Amy Anderson,female,02-06-04,Mr. Brown,82,15,2,70,59,15,60,25,51,63,95,42.08,D+
1942,Manuel Moore,female,2/26/2006,Mrs. Davis,45,56,37,13,62,82,63,10,89,23,85,40.62,D+
1943,Randall Nelson,female,1/23/1999,Ms. Johnson,90,55,30,86,79,80,30,44,28,56,65,51.77,C
1944,Kathy Drake,female,10/29/2010,Mr. Brown,85,69,22,27,88,41,79,68,77,27,25,61.46,B
1945,Monica Jackson,male,11/30/2003,Mr. Brown,9,53,74,57,1,2,55,23,83,69,75,46.08,C-
1946,Carol Werner,male,05-09-97,Mr. Brown,70,0,6,57,63,15,60,95,65,74,75,53.38,C
1947,Gerald Johnson,male,6/16/1998,Mr. Smith,24,46,8,39,78,21,20,41,20,53,50,42.08,D+
1948,Jonathan Martinez,female,10/23/1993,Mr. Brown,23,45,23,82,86,38,56,76,40,45,10,51,C
1949,Michele Cantrell,female,05-06-95,Mrs. Davis,2,36,93,7,60,50,68,23,84,64,45,46,C-
1950,Bruce Francis,female,10-08-98,Mr. Brown,2,16,1,61,75,96,95,44,88,54,0,48.77,C-
1951,Kimberly Sanders,male,10/28/1995,Mr. Brown,8,2,19,94,31,79,35,88,99,84,45,47.92,C-
1952,Ricky Swanson,male,5/21/2008,Mrs. Davis,69,92,57,49,7,31,40,50,72,28,95,46.31,C-
1953,Anthony Yates,female,5/22/2008,Mrs. Davis,77,76,51,6,23,51,36,3,19,58,55,49.69,C-
1954,Neil West,female,11-02-06,Mr. Brown,80,80,88,21,23,91,36,6,55,57,10,52.08,C
1955,Emma Serrano,female,2/21/1992,Mr. Smith,3,35,43,36,100,10,57,29,3,17,55,37.08,D
1956,Laura Olson,male,11/23/2009,Mr. Brown,12,79,18,78,48,4,62,15,85,100,45,54.54,C
1957,James Lee,female,07-06-92,Mr. Brown,82,66,100,37,42,86,18,74,18,90,95,62.46,B
1958,Micheal Anderson,female,11/18/2004,Ms. Johnson,78,53,52,71,70,8,51,18,13,80,20,55.77,B-
1959,Lisa French,male,09-04-08,Mr. Brown,80,63,58,29,45,7,40,39,5,36,65,45.38,C-
1960,Christina Moreno,female,6/16/2007,Mrs. Davis,82,7,79,34,7,57,93,6,22,96,100,52.85,C
1961,John Ross,male,6/17/2005,Ms. Johnson,11,50,17,7,74,66,14,41,38,20,60,34.62,D-
1962,Katherine Montoya,female,7/30/2000,Mr. Brown,72,88,65,46,41,33,39,81,53,85,10,60.31,B
1963,Peter Golden,female,1/30/1998,Ms. Johnson,90,4,26,50,61,98,2,43,75,85,30,49.23,C-
1964,Dawn Reeves,female,6/27/2004,Mr. Brown,49,84,17,81,44,18,41,60,69,16,85,43.15,D+
1965,David Bailey,male,7/20/2010,Mr. Brown,32,99,58,24,30,35,81,83,91,3,90,48.38,C-
1966,Robin Vega,male,05-01-07,Ms. Johnson,57,26,65,76,21,34,41,45,34,44,90,40.92,D+
1967,Lori Dodson,female,1/29/2002,Mr. Smith,10,57,89,0,36,32,52,71,3,27,60,43.92,D+
1968,Eric Snyder,female,04-02-06,Ms. Johnson,0,86,95,68,76,47,25,63,19,63,50,54.92,C
1969,Heidi Foster,female,2/26/2002,Mr. Smith,3,85,44,6,18,17,78,76,8,91,10,39.85,D
1970,Nicole Lamb,female,9/23/2010,Mr. Smith,21,33,2,96,22,45,49,34,97,25,45,48.85,C-
1971,Collin Fuentes,female,6/21/2005,Mrs. Davis,92,50,78,55,93,100,85,94,44,84,80,71.85,B+
1972,Teresa Jones,female,01-10-04,Mr. Smith,51,1,76,72,25,8,13,51,63,88,10,46.31,C-
1973,Jeffrey Becker,female,8/24/1998,Mr. Smith,19,99,14,2,7,84,7,51,82,1,55,44.31,D+
1974,Steven White,female,03-07-07,Mr. Brown,33,38,12,85,76,43,92,31,10,33,90,54,C
1975,James Newton,male,12-02-90,Mrs. Davis,57,90,4,69,33,11,86,25,26,38,80,48.38,C-
1976,Elizabeth Navarro,female,3/31/1995,Mr. Brown,88,67,57,27,76,71,32,73,85,45,30,58.69,B-
1977,Randy Lee,female,3/30/2009,Ms. Johnson,4,27,4,47,6,40,7,69,96,39,65,33.85,D-
1978,Brandy Richard,female,1/29/1997,Mr. Brown,86,57,78,8,57,60,71,41,63,33,65,51.92,C
1979,Kelly Leonard,female,6/29/1999,Ms. Johnson,86,84,78,91,55,44,25,24,94,20,70,58.08,B-
1980,Joseph Scott,male,12/15/2008,Mr. Smith,52,68,51,63,46,12,7,52,56,61,55,48,C-
1981,Sharon Rodriguez,male,11-06-01,Mr. Brown,71,42,48,40,2,39,70,37,84,7,15,39.08,D
1982,Amber Rodriguez,female,2/27/2000,Mr. Brown,8,41,83,95,33,44,38,90,86,68,80,60.08,B
1983,Mary Chavez,male,07-02-04,Ms. Johnson,16,39,70,16,53,7,67,40,85,38,75,38.38,D
1984,Barry Johnson,female,3/21/2004,Ms. Johnson,50,83,70,5,21,72,65,56,94,74,90,55.62,B-
1985,Patricia Thomas,female,8/15/2008,Mrs. Davis,32,26,71,48,20,76,34,73,97,68,40,53,C
1986,Christopher Norris,female,10-12-06,Mr. Brown,61,39,71,13,21,39,95,59,62,54,30,53,C
1987,Veronica Coleman,female,8/21/1998,Mr. Smith,93,1,15,86,54,93,78,16,32,96,30,61.46,B
1988,Matthew Stevens,female,12-10-05,Ms. Johnson,7,90,6,47,6,72,94,91,69,4,75,44.69,D+
1989,Marc Kim,female,7/23/1998,Mr. Smith,99,100,24,40,43,17,96,27,82,80,30,59.77,B-
1990,Aaron Fleming,female,02-05-04,Mrs. Davis,97,48,48,15,17,79,38,50,91,38,20,55.15,B-
1991,David Armstrong,male,12/22/2007,Ms. Johnson,100,94,89,43,11,83,61,78,22,69,70,58.92,B-
1992,Sherri Murphy,female,08-05-04,Mrs. Davis,19,98,73,92,61,20,70,59,98,38,70,57.85,B-
1993,Joseph Morales,male,04-02-06,Mrs. Davis,19,87,25,5,56,58,11,54,83,29,15,52.54,C
1994,Mark Johnson,female,1/13/2005,Mr. Smith,31,80,89,33,14,67,31,58,38,15,50,39.69,D
1995,Scott Flores,female,12/26/2006,Ms. Johnson,38,11,66,26,49,61,61,40,46,66,55,49,C-
1996,Melissa Caldwell,female,6/25/2004,Ms. Johnson,61,56,53,7,6,85,84,84,76,46,60,60.77,B
1997,Leslie Francis,male,11/18/2001,Mrs. Davis,27,78,90,80,30,12,88,52,90,70,50,54.31,C
1998,Samantha Wilson,male,11/20/1993,Ms. Johnson,57,36,39,95,86,35,17,28,44,11,40,50.31,C
1999,Aaron Sanders,female,5/31/2006,Mrs. Davis,12,25,16,52,27,78,31,13,48,46,75,37.69,D
2000,Michael Jones,male,6/24/2002,Ms. Johnson,82,14,68,29,14,48,29,66,71,16,0,45.92,C-
2001,Denise Nelson,male,11/23/1999,Mr. Smith,10,62,37,54,44,88,96,7,37,52,40,48,C-
2002,James Bailey,female,08-07-96,Mrs. Davis,77,8,10,21,83,82,69,77,71,55,100,56.15,B-
2003,Justin Webb,male,10/28/2003,Mrs. Davis,60,59,89,36,69,12,100,40,83,54,35,60,B
2004,Miss Victoria James,female,3/25/1997,Mr. Smith,9,71,26,6,43,60,59,80,84,42,55,47.31,C-
2005,Diana Logan,male,3/24/2000,Mrs. Davis,23,22,65,82,62,42,20,73,15,3,25,39.85,D
2006,Ashley Rubio,male,9/20/2006,Mrs. Davis,46,7,9,33,47,41,51,73,85,75,70,40.23,D+
2007,Kenneth Johnson,female,9/17/2008,Mrs. Davis,5,69,15,9,48,87,80,79,28,78,95,50.69,C
2008,Brittany Lewis,female,9/29/2009,Mrs. Davis,30,93,77,62,95,2,24,6,58,92,5,53.92,C
2009,Linda Thompson,male,9/16/2010,Mrs. Davis,56,94,60,0,52,5,33,5,25,61,0,42.69,D+
2010,Anthony Simpson,female,08-11-01,Ms. Johnson,63,91,93,59,31,54,100,53,43,100,75,68.46,B
2011,Mr. Robert Cruz Jr.,male,01-12-09,Mr. Smith,79,51,45,42,32,72,85,0,7,71,50,53.62,C
2012,John Sharp,female,11/24/1992,Mr. Brown,56,20,72,94,86,92,99,93,35,7,20,65.38,B
2013,Christopher Gutierrez,male,11/27/1992,Mr. Smith,18,7,14,34,42,23,84,17,4,8,45,33.92,D-
2014,Mr. Willie Farmer,male,6/29/2003,Mr. Smith,35,17,97,18,55,65,39,48,49,43,40,48.31,C-
2015,Andre Bush,female,11/28/2004,Mr. Brown,77,51,37,76,15,58,91,69,51,92,95,62,B
2016,Mr. Kurt Jackson MD,male,11/14/2009,Mr. Brown,16,64,99,8,60,89,66,51,69,88,80,65.62,B
2017,Thomas Williams,female,3/29/2003,Mr. Brown,13,31,56,67,15,51,44,71,19,79,40,42.69,D+
2018,Deborah Pineda,male,12/23/1998,Ms. Johnson,59,14,20,98,90,80,72,56,29,33,0,55.92,B-
2019,Eric Herrera,male,08-10-99,Mrs. Davis,59,85,70,66,79,1,21,62,35,37,25,49.62,C-
2020,Adam Johnson,female,11-10-95,Ms. Johnson,87,60,2,7,45,79,8,45,28,37,30,42.77,D+
2021,Stephen Gutierrez,male,11-12-98,Mr. Smith,9,91,28,85,71,71,61,56,43,82,70,60.77,B
2022,Jacob Thomas,female,11/29/1996,Mr. Smith,36,84,54,59,81,47,56,35,81,80,10,62,B
2023,Emily Durham,male,4/30/1999,Ms. Johnson,1,91,89,38,33,72,87,47,91,82,50,55.77,B-
2024,Deborah Johnson,male,06-08-09,Mr. Smith,74,61,37,22,2,92,62,46,20,25,25,38.31,D
2025,Brianna Smith,female,5/17/2009,Ms. Johnson,2,77,100,77,21,0,27,93,13,28,75,39.46,D
2026,Donna Powell,male,06-01-07,Mr. Smith,96,81,50,79,28,96,72,4,46,60,75,60.62,B
2027,April Anderson,female,5/30/2004,Mr. Brown,68,55,100,77,60,89,17,18,82,100,60,63,B
2028,Gerald Fox MD,male,02-08-07,Mrs. Davis,71,16,39,13,46,0,21,97,45,64,85,46.08,C-
2029,Danny Coleman,male,10-07-97,Mrs. Davis,60,36,76,20,94,0,53,97,16,42,85,52.62,C
2030,Marvin Evans,female,4/20/2009,Ms. Johnson,37,17,26,24,16,34,89,70,45,48,45,43.92,D+
2031,Diana Kane,female,02-08-93,Mrs. Davis,66,32,83,59,67,15,49,87,36,80,100,54.92,C
2032,Andrea Oliver,female,2/18/2000,Mr. Brown,59,82,4,62,82,45,83,73,19,16,75,59.62,B-
2033,Desiree Cohen,male,03-09-94,Mr. Brown,18,36,23,96,62,47,55,96,47,29,95,51.08,C
2034,Wendy Smith,female,06-12-98,Ms. Johnson,78,74,47,83,94,74,1,10,49,61,0,54.77,C
2035,Frank Page,male,6/24/2001,Mrs. Davis,12,92,7,55,47,18,45,25,64,47,25,42.69,D+
2036,Stephanie Daniels,female,10/29/1993,Mr. Smith,27,94,40,25,8,86,7,40,95,32,55,42.92,D+
2037,Wendy Kelley,female,2/21/2008,Mr. Brown,94,39,23,30,2,64,2,93,2,81,60,46.54,C-
2038,Joseph Manning,male,5/15/1994,Mr. Smith,59,66,68,35,34,24,13,19,8,30,5,34.38,D-
2039,Amanda Parks,female,03-03-09,Ms. Johnson,52,21,61,86,79,43,57,43,33,90,20,49.77,C-
2040,Amber Castillo,male,5/31/2004,Mr. Smith,57,72,8,16,63,56,8,26,25,59,75,38.08,D
2041,Jay James,male,3/19/1990,Mr. Brown,79,40,69,99,35,55,94,59,32,89,85,65.15,B
2042,Jared Morales,female,9/17/1999,Mr. Smith,14,18,52,72,53,66,47,16,92,10,60,44,D+
2043,Christopher Lewis,male,02-11-94,Ms. Johnson,68,100,55,14,10,96,72,39,71,61,10,57,B-
2044,Jessica Moore,female,12/26/2007,Mr. Brown,80,68,47,25,85,22,41,24,60,1,25,43,D+
2045,Melissa Boyd,female,6/13/2008,Ms. Johnson,51,58,63,84,66,52,2,50,50,70,95,52.08,C
2046,Brian Powell,male,05-06-04,Mr. Smith,0,88,80,8,5,75,91,36,11,27,0,45.77,C-
2047,Steven Mitchell,female,12-09-08,Mrs. Davis,92,56,0,84,69,75,47,1,94,16,95,43.15,D+
2048,Mr. Eric Lopez,male,06-05-09,Ms. Johnson,0,23,68,27,38,8,94,42,24,97,95,44.46,D+
2049,Veronica Garza,female,03-12-99,Mr. Brown,82,86,42,58,86,48,27,92,23,30,10,59.46,B-
2050,Juan Pope,female,01-04-00,Ms. Johnson,56,62,6,71,1,43,43,83,60,31,60,47.31,C-
2051,Suzanne Moss,female,01-01-97,Ms. Johnson,40,58,12,54,58,93,90,38,43,12,85,48.92,C-
2052,Tiffany Bishop,male,03-06-01,Mr. Smith,78,15,40,95,9,1,67,12,45,88,65,44.77,D+
2053,Patricia Wilson,female,8/26/2001,Ms. Johnson,83,87,85,35,13,41,51,43,32,78,25,44,D+
2054,Terry Richard,male,12/30/2001,Mr. Smith,49,69,31,50,12,53,28,1,68,35,45,37.85,D
2055,Michael Moses,male,12/26/1993,Mr. Brown,43,19,35,29,57,71,39,2,32,63,5,39.69,D
